Recipe,Ingredient,Quantity,Serving,Recipe Weight,Portion per Serving,Norm Quantity,Valid Norm,New Quantity
kadhai paneer,garam masala,1.21,4.0,788.0,197.0,0.0015355329949238578,1.0,0.302
kadhai paneer,dry red pepper,1.35,4.0,788.0,197.0,0.0017131979695431472,1.0,0.338
kadhai paneer,coriander seed,5.18,4.0,788.0,197.0,0.006573604060913705,1.0,1.295
kadhai paneer,coriander leaves,1.04,4.0,788.0,197.0,0.0013197969543147208,1.0,0.26
lamb karahi,boneless lamb,566.99,4.0,2125.72,531.43,0.26672844965470527,1.0000000000000002,141.748
lamb karahi,oil,3.8,4.0,2125.72,531.43,0.0017876296031462283,1.0000000000000002,0.95
lamb karahi,ginger root paste,39.93,4.0,2125.72,531.43,0.018784223698323395,1.0000000000000002,9.982
lamb karahi,tomato,455.0,4.0,2125.72,531.43,0.21404512353461416,1.0000000000000002,113.75
lamb karahi,salt,10.99,4.0,2125.72,531.43,0.0051700129838360654,1.0000000000000002,2.748
lamb karahi,chili flakes,5.32,4.0,2125.72,531.43,0.0025026814444047197,1.0000000000000002,1.33
lamb karahi,boiling water,990.0,4.0,2125.72,531.43,0.4657245545038858,1.0000000000000002,247.5
lamb karahi,fresh ginger root,20.41,4.0,2125.72,531.43,0.009601452684266978,1.0000000000000002,5.102
