Recipe,Ingredient,Quantity,Serving
shahi paneer korma,milk,123.02,4.0
shahi paneer korma,salt,6.92,4.0
yellow dal fry,split red lentils,89.9,8.0
yellow dal fry,toor dal,95.81,8.0
yellow dal fry,mung dal,113.56,8.0
yellow dal fry,channa dal,101.73,8.0
yellow dal fry,water,946.36,8.0
yellow dal fry,oil,27.21,8.0
yellow dal fry,cumin seed,1.03,8.0
yellow dal fry,asafoetida powder,0.78,8.0
yellow dal fry,onion,70.0,8.0
yellow dal fry,garlic clove,5.0,8.0
yellow dal fry,jalapeno,14.0,8.0
yellow dal fry,ginger root,4.53,8.0
yellow dal fry,turmeric,1.53,8.0
yellow dal fry,cayenne pepper,0.44,8.0
yellow dal fry,ground coriander,2.41,8.0
yellow dal fry,ground cumin,2.07,8.0
yellow dal fry,salt,5.46,8.0
yellow dal fry,no-salt-added tomato sauce,51027.75,8.0
yellow dal fry,fresh cilantro,3.11,8.0
yellow dal fry,lemon juice,10.05,8.0
fish korma,ladyfingers,500.0,3.0
fish korma,onion,18.04,3.0
fish korma,ginger root paste,6.64,3.0
fish korma,green chilies,8.0,3.0
fish korma,oil,9.06,3.0
fish korma,turmeric powder,2.0,3.0
fish korma,salt,5.19,3.0
fish korma,chili powder,2.0,3.0
fish korma,amchoor powder,2.0,3.0
coconut chicken curry,peanut oil,26.92,4.0
coconut chicken curry,chicken thigh fillets,700.0,4.0
coconut chicken curry,onion,70.0,4.0
coconut chicken curry,garlic clove,3.0,4.0
coconut chicken curry,ginger root,4.53,4.0
coconut chicken curry,coriander,3.45,4.0
coconut chicken curry,cumin,4.14,4.0
coconut chicken curry,turmeric,3.05,4.0
coconut chicken curry,chili powder,1.33,4.0
coconut chicken curry,tomato,273.0,4.0
coconut chicken curry,coconut cream,300.47,4.0
coconut chicken curry,chicken stock,119.47,4.0
coconut chicken curry,cilantro,2.07,4.0
coconut chicken curry,brown sugar,3.69,4.0
butter chicken,boneless skinless chicken breast,1133.98,4.0
butter chicken,tandoori paste,63.89,4.0
butter chicken,plain yogurt,425.24,4.0
butter chicken,lemon juice,60.34,4.0
butter chicken,campbell's tomato soup,76.9,4.0
butter chicken,fresh ginger root,20.41,4.0
butter chicken,creamo,283.49,4.0
butter chicken,garam masala,2.41,4.0
butter chicken,salt,4.1,4.0
butter chicken,sugar,1.05,4.0
butter chicken,red chili pepper flakes,2.41,4.0
